-0.72396,-1.2212,-6.1277,-4.8158,3.5829,-1.2216,1.0084,-1.4981,4.8463,-5.3575,-1
-0.21203,-4.137,2.0178,-3.0164,2.5438,2.1523,3.603,-4.8613,-2.2251,2.1275,-1
2.7948,-1.9583,5.3285,2.8148,-3.8428,-0.75047,-2.5464,1.6063,0.29347,-4.1065,1
5.7987,9.0402,4.3005,0.11078,7.928,-3.9987,-1.6515,-3.4766,-3.9027,-4.14,1
-0.73942,2.7018,-1.1083,1.5746,3.3704,1.5273,-8.4198,0.56444,-1.1238,0.071478,1
0.18301,2.8116,-5.6026,-4.0178,4.0108,2.1493,-1.8433,-3.0698,0.54923,1.438,-1
-2.7153,5.9458,-2.9536,-2.0359,-2.3906,0.45529,-1.9254,0.63256,-1.4062,-1.3349,-1
-2.4008,1.8069,0.82656,0.95693,-1.9415,-1.108,-1.7229,-4.1385,-0.61566,3.7365,-1
3.0975,-3.7154,6.5507,-3.6028,0.16027,-4.3616,-0.05939,-0.10992,-0.55942,-1.494,1
-0.03014,-1.0318,0.32046,-7.8633,-4.6772,5.5107,0.41781,4.3047,-5.4477,2.0227,-1
2.5938,-2.5804,-6.5716,1.0599,1.8526,0.13642,-7.3188,-3.9591,5.5658,-0.29893,-1
0.98232,-1.0897,4.4408,-1.3352,-2.9756,-2.9566,-5.3537,-0.26334,-4.1774,2.1951,1
-2.1229,-4.1322,-4.6623,-0.74918,2.4502,-3.5611,-1.3208,-0.14638,-1.5211,-0.25524,-1
1.3311,0.80808,-2.5707,-3.3877,2.4391,0.53872,-4.5217,-3.6198,-6.9811,-1.367,-1
-1.9775,6.9988,0.40792,-3.3115,0.41236,-4.0564,3.7976,0.2882,-0.33217,-3.8258,1
0.53672,-4.3232,0.27375,-1.3223,2.7012,7.2931,0.4783,-0.36267,-2.2979,0.093909,-1
2.7685,-0.45213,-2.7253,5.7425,-2.1152,1.7337,-4.849,0.65373,1.9244,4.1312,-1
2.2097,-0.62162,4.5138,1.2191,-1.5111,-3.0351,1.1447,-0.067438,6.0415,0.38907,1
1.5867,0.16302,-0.30681,-5.2782,-2.2923,-1.9229,2.2423,1.5108,-2.1832,1.0361,-1
2.8334,-0.58388,2.1325,-2.2711,-1.6379,-4.364,0.74728,1.8742,1.7479,1.9169,1
0.21783,2.7071,-1.5808,-0.37231,8.9115,-2.8819,6.1519,1.9988,-2.3722,-0.60266,1
-1.9423,-1.3893,-2.2824,4.7111,-4.8754,-1.079,-0.86297,-0.98042,-0.89382,-3.6473,-1
0.31494,-4.9188,-3.6009,-3.6057,1.8586,-0.67911,2.8557,2.2575,-5.4574,-1.9007,-1
1.6658,-0.28015,-1.9209,4.7387,-6.1482,-4.9409,1.1992,-0.052028,-0.37915,1.1319,-1
2.2531,2.206,0.83775,1.6525,-0.83748,-1.9221,2.1206,-3.4335,-2.0889,-2.587,1
1.4689,2.2961,-0.67849,2.3683,3.2478,1.6225,-4.0637,0.086539,-1.7469,-0.57321,1
4.0895,-3.2202,-4.5831,-3.0352,-1.5263,-7.3474,6.6277,0.64511,0.20489,-0.25962,-1
1.8078,1.1016,0.25008,-0.167,-0.47285,-1.5826,1.4017,-1.3487,-5.6651,-0.80869,-1
